papers,citations_all,citations_self,hindex_external,hindex_both
39,59,0,4.31,4.31
7,24,0,2.49,2.65
1,2,0,1.0,1.0
526,26280,802,51.21,60.4
1,6,0,1.0,1.0
182,1360,0,19.01,18.94
1,5,0,1.0,1.0
40,585,0,11.3,11.09
257,1059,0,12.95,12.97
64,932,107,13.16,13.48
30,108,0,5.42,5.31
9,266,7,5.69,6.21
3,68,1,2.63,2.6
22,472,0,6.41,6.48
54,979,98,8.95,10.21
108,4634,249,21.28,22.91
4,38,0,1.68,1.74
15,584,8,7.68,7.72
2,6,0,1.0,1.0
138,5071,283,22.25,26.87
535,29702,2217,56.37,67.35
16,99,1,4.65,4.62
240,20789,799,33.91,43.65
525,44890,1957,47.93,61.73
51,1161,193,13.46,14.72
35,393,99,8.75,9.56
41,783,102,8.32,9.85
15,162,28,6.0,5.74
17,281,18,6.54,5.97
75,1111,147,14.09,14.96
9,291,4,4.36,4.31
130,2606,177,21.18,22.11
14,144,5,6.38,6.35
149,3443,607,24.75,28.27
46,980,69,12.03,13.29
26,573,39,7.43,7.72
29,583,49,8.35,9.34
5,294,4,5.0,5.0
203,3501,587,28.43,30.44
71,2834,147,17.73,19.8
31,309,33,7.84,8.26
4,138,1,4.0,4.0
89,3379,210,13.09,15.86
35,594,43,7.03,7.35
205,1562,513,15.79,15.74
134,1154,273,14.82,16.49
24,214,9,6.27,6.26
73,508,51,11.5,11.71
32,534,28,8.02,8.53
192,3690,353,15.81,18.57
1061,26857,3279,53.32,63.95
73,1054,73,11.51,11.82
73,813,42,13.64,14.27
243,5029,392,35.27,35.12
139,3325,185,22.69,24.22
58,870,35,9.54,10.27
9,230,13,4.0,4.0
8,253,10,5.02,4.86
5,208,3,4.0,4.0
5,208,3,4.0,4.0
25,463,22,7.47,7.88
40,877,41,8.9,9.76
28,594,33,9.14,8.94
216,6279,809,28.75,36.4
206,6114,561,26.01,30.29
491,19470,2300,48.95,64.85
81,1189,179,15.58,16.08
582,15629,3695,49.7,58.38
4,133,6,3.0,3.0
2,68,1,2.0,2.0
3,68,3,2.0,2.0
1,17,0,1.0,1.0
3,133,3,3.0,3.0
3,94,1,3.0,3.0
104,7850,271,24.37,26.74
206,11209,470,33.18,39.89
42,6108,132,12.51,13.77
18,990,18,4.35,4.71
18,276,5,6.09,6.1
283,18391,581,36.34,42.15
67,3364,73,17.4,17.32
28,388,32,7.45,7.81
